ANTH	101	Intro Cultural/Social Anth 	1	25	 None. Not open to students who have taken this course as ANTH 104.	 Armstrong, Walters			
ANTH	262	Archaeology of Sacrifice 							
ANTH	265	The Politics of Nature 							
ES	265	The Politics of Nature							
ANTH	274	Anthropological Genetics 							
BISC	274	Anthropological Genetics							
ANTH	277	True Stories 							
WRIT	277	True Stories							
ANTH	278	Making, Using and Living 							
ANTH	281	Anthropology of Death 							
ANTH	299	Home and Away 							
ANTH	301	Anthropological Theory 							
ANTH	302	Museum Anthropology 							
ANTH	305	Ethnographic Film 							
CAMS	305	Ethnographic Film							
ANTH	310H	WS: Southern Balkans 							
ANTH	314	Human Biology and Society 							
ANTH	319	Nationlism, Politics & Remote Past 							
ANTH	321	Anthropology of the Senses 							
ANTH	333	Sem: Anthropologies of Exchange 							
ANTH	341	Indigenous Resurgence 							
ANTH	345	Ethnomusicology Field Methods 							
MUS	345	Ethnomusicology Field Methods							
ANTH	346	Sem: Political Lives of NGOs 							
ANTH	350	Research or Individual Study 							
ANTH	350H	Research or Individual Study 							
ANTH	360	Senior Thesis Research 							
ANTH	370	Senior Thesis 							
