AFR	105	Intro to Black Experience 	1	46	None	Carter-Jackson			
AFR	304	Sem: Politics of Chocolates 	1	15	 At least one Africana Studies or Political Science course.	 Dendere			
POL3	302	Sem: Politics of Chocolates	1	15	 At least one Africana Studies or Political Science course.	 Dendere			
AFR	306	Urban Development & Underclass 	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.				
AFR	310	Sem: Reading DuBois 	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.	Cudjoe			
SOC	310	Sem: Reading DuBois	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.	Cudjoe			
AFR	312	Sem: Natural Resources in Africa 	1	20	 AFR 263 or POL2 204, or by permission of the instructor.	 Shingirai Taodzera			
AFR	316	Sem: Race & Gender Contemporary Art 	1	12	 ARTH 100 or a 200-level ARTH course or a 200-level AFR course or a visual culture course.	Greene			
ARTH	316	Sem: Race & Gender Contemporary Art	1	12	 ARTH 100 or a 200-level ARTH course or a 200-level AFR course or a visual culture course.	Greene			
AFR	319	Black Aesthetics 	1	16	At least one course in Philosophy, Africana Studies, or Women's and Gender Studies.				
PHIL	319	Black Aesthetics	1	16	At least one course in Philosophy, Africana Studies, or Women's and Gender Studies.				
AFR	330	CSPW: Black Diaspora & Pandemic 	1	12	 At least one Africana Studies or Political Science course.	 Dendere			
AFR	341	Africans of the Diaspora 	1	15	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Fitzpatrick			
AFR	345	Enslaved Women in the Atlantic World 	1	15	 AFR 209 or AFR 105	 Carter-Jackson			
AFR	350	Research or Individual Study 	1	15	Permission of the instructor. Open to juniors and seniors.			Spring; Fall	Spring; Fall
AFR	350H	Research or Individual Study 	0.5	25	Permission of the instructor.			Spring; Fall	Fall; Spring
AFR	360	Senior Thesis Research 	1	15	Permission of the department.				
AFR	370	Senior Thesis 	1	25	AFR 360 and permission of the department.				
AFR	380	Violence in the Black Atlantic 	1	15	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Carter-Jackson			
AFR	390	Sem: Racism in the North 	1	15	 None. A course in African American History recommended (AFR 209 or AFR 210).	 Carter-Jackson			
SWA	101	Elementary Swahili 	1	15	None	Osoro			
SWA	102	Elementary Swahili 	1	15	SWA 101	Osoro			
SWA	120	Swahili Language and Culture 	1	18	 SWA 101 and permission of the instructor.	 Osoro			
SWA	201	Intermediate Swahili I 	1	15	SWA 102	Osoro			
SWA	202	Intermediate Swahili II 	1	15	SWA 201	Osoro			
SWA	203	Intensive Intermediate Swahili 	1	25	SWA 102	Osoro			
SWA	220	Swahili Language and Culture 	1	18	 SWA 201 and permission of the instructor.	 Osoro			
AFR	105	Intro to Black Experience 							
AFR	115	Intro to Afr Amer Philosophy 							
PHIL	115	Intro to Afr Amer Philosophy							
AFR	201	African-Amer Lit Tradition 							
ENG	260	African-Amer Lit Tradition							
AFR	206	African Amer Hist 1500-present 							
AFR	209	Af Am History: Slavery to Civil War 							
AFR	210	Af Am History: Reconstruction to Present 							
AFR	211	Intro African Literature 							
AFR	212	Black Women Writers 							
ENG	279	Black Women Writers							
AFR	215	Unpacking Blackness 							
AFR	225	Intro Black Psychology 							
PSYC	225	Intro Black Psychology							
AFR	227	Black Girlhood 							
EDUC	227	Black Girlhood							
AFR	228	Black Feminist Philosophy 							
PHIL	228	Black Feminist Philosophy							
AFR	236	Intro to African Politics 							
POL2	231	Intro to African Politics							
AFR	239	Sem: African Civilizations 							
AFR	242	New World Afro-Atlantic Religions 							
REL	214	New World Afro-Atlantic Religions							
AFR	243	The Black Church 							
PEAC	243	The Black Church							
AFR	245	The Impact of Globalization 							
POL3	245	The Impact of Globalization							
AFR	249	Black Women's History 							
AFR	250	Research or Individual Study 							
AFR	256	The Portuguese-Speaking World 							
PORT	256	The Portuguese-Speaking World							
AFR	264	African Art 							
ARTH	264	African Art							
AFR	265	African American Autobiographies 							
ENG	265	African American Autobiographies							
AFR	271	History of Slavery Thru Film 							
CAMS	271	History of Slavery Thru Film							
AFR	292	African Art & the Diaspora 							
ARTH	292	African Art & the Diaspora							
AFR	295	The Harlem Renaissance 							
ENG	295	The Harlem Renaissance							
AFR	299	Sem: Caribbean Culture 							
AFR	302	Caribbean Intellectual Thought 							
AFR	303	Seminar: Slavery and Film 							
AFR	304	Sem: Politics of Chocolates 							
POL3	302	Sem: Politics of Chocolates							
AFR	306	Urban Development & Underclass 							
AFR	310	Sem: Reading DuBois 							
SOC	310	Sem: Reading DuBois							
AFR	312	Sem: Natural Resources in Africa 							
AFR	316	Sem: Race & Gender Contemporary Art 							
ARTH	316	Sem: Race & Gender Contemporary Art							
AFR	319	Black Aesthetics 							
PHIL	319	Black Aesthetics							
AFR	330	CSPW: Black Diaspora & Pandemic 							
AFR	341	Africans of the Diaspora 							
AFR	345	Enslaved Women in the Atlantic World 							
AFR	350	Research or Individual Study 							
AFR	350H	Research or Individual Study 							
AFR	360	Senior Thesis Research 							
AFR	370	Senior Thesis 							
AFR	380	Violence in the Black Atlantic 							
AFR	390	Sem: Racism in the North 							
SWA	101	Elementary Swahili 							
SWA	102	Elementary Swahili 							
SWA	120	Swahili Language and Culture 							
SWA	201	Intermediate Swahili I 							
SWA	202	Intermediate Swahili II 							
SWA	203	Intensive Intermediate Swahili 							
SWA	220	Swahili Language and Culture 							
