	course	0	1	2	3	4	5	6	7
1015	AMST 161	Education Studies	Latin American Studies						
211	AMST 212	American Studies	East Asian Studies	Religion					
60	AMST 215	Africana Studies - United States Concentration							
212	AMST 217	American Studies	Latin American Studies	Music	Religion				
213	AMST 218	American Studies	Religion						
214	AMST 220	American Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Religion			
215	AMST 222	American Studies	Education Studies	Religion					
216	AMST 225	American Studies	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies	Religion	
217	AMST 228	American Studies	Religion						
218	AMST 231	American Studies	Religion						
219	AMST 232	American Studies	Religion						
220	AMST 234	American Studies	Religion						
221	AMST 235	American Studies	Latin American Studies	Religion					
222	AMST 240	American Studies	Religion						
223	AMST 241	American Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Religion		
224	AMST 242	American Studies	Religion						
225	AMST 246	American Studies	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies	Religion	
226	AMST 248	American Studies	Religion						
227	AMST 251	American Studies	Education Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Religion	
228	AMST 258	American Studies	Jewish Studies	Religion					
229	AMST 261	American Studies	Religion						
230	AMST 262	American Studies	Religion						
231	AMST 264	American Studies	Education Studies	Religion					
232	AMST 266	American Studies	Religion						
233	AMST 268	American Studies	Religion						
234	AMST 274	American Studies	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	International Relations - Economics	International Relations - History	International Relations - Political Science	Religion	
235	AMST 281	American Studies	Education Studies	Religion	Women's and Gender Studies				
236	AMST 290	American Studies	Education Studies	Latin American Studies	Religion				
237	AMST 292	American Studies	Religion						
238	AMST 296	American Studies	English	English and Creative Writing	Religion				
239	AMST 299	American Studies	Religion						
240	AMST 310	American Studies	Religion						
241	AMST 314	American Studies	Religion						
61	AMST 315	Africana Studies - United States Concentration	Education Studies	Music	Women's and Gender Studies				
242	AMST 318	American Studies	Religion						
243	AMST 319	American Studies	Religion						
244	AMST 323	American Studies	Latin American Studies	Religion					
245	AMST 325	American Studies	Religion						
246	AMST 327	American Studies	Latin American Studies	Religion	Women's and Gender Studies				
247	AMST 348	American Studies	International Relations - Economics	International Relations - History	International Relations - Political Science	Religion			
248	AMST 350	American Studies	Religion						
249	AMST 355	American Studies	Religion						
250	AMST 360	American Studies	Religion						
251	AMST 370	American Studies	Religion						
252	AMST 383	American Studies	Religion	Women's and Gender Studies					
253	AMST 386	American Studies	Religion						
254	ANTH 101	Anthropology							
255	ANTH 102	Anthropology							
256	ANTH 103	Anthropology	Classical Civilization						
308	ANTH 110	Anthropology							
257	ANTH 205	Anthropology	International Relations - History	International Relations - Political Science					
264	ANTH 207	Anthropology	International Relations - History	International Relations - Political Science					
265	ANTH 209	Anthropology	International Relations - History	International Relations - Political Science					
266	ANTH 210	Anthropology	Education Studies	International Relations - History	International Relations - Political Science	Latin American Studies			
82	ANTH 214	American Studies	Anthropology	International Relations - History	International Relations - Political Science				
267	ANTH 215	Anthropology	International Relations - Economics	International Relations - History	International Relations - Political Science				
268	ANTH 217	Anthropology	International Relations - Economics	International Relations - History	International Relations - Political Science				
269	ANTH 219	Anthropology	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	International Relations - Economics	International Relations - History	International Relations - Political Science		
270	ANTH 220	Anthropology	International Relations - History	International Relations - Political Science					
271	ANTH 222	Anthropology	International Relations - History	International Relations - Political Science					
272	ANTH 227	Anthropology	International Relations - History	International Relations - Political Science					
273	ANTH 231	Anthropology	Education Studies	International Relations - History	International Relations - Political Science	Latin American Studies			
83	ANTH 232	American Studies	Anthropology	International Relations - History	International Relations - Political Science	Media Arts and Sciences			
274	ANTH 233	Anthropology	International Relations - History	International Relations - Political Science					
1372	ANTH 234	International Relations - History	International Relations - Political Science						
85	ANTH 235	American Studies	Anthropology	International Relations - History	International Relations - Political Science	Latin American Studies			
275	ANTH 236	Anthropology	International Relations - History	International Relations - Political Science					
276	ANTH 237	Anthropology	International Relations - Economics	International Relations - History	International Relations - Political Science	South Asia Studies			
277	ANTH 238	Anthropology	International Relations - History	International Relations - Political Science	Women's and Gender Studies				
622	ANTH 239	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
278	ANTH 243	Anthropology	International Relations - History	International Relations - Political Science					
279	ANTH 245	Anthropology	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
280	ANTH 246	Anthropology	Media Arts and Sciences						
281	ANTH 249	Anthropology	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
282	ANTH 250	Anthropology	International Relations - History	International Relations - Political Science					
283	ANTH 250GH	Anthropology	International Relations - History	International Relations - Political Science					
284	ANTH 250H	Anthropology	International Relations - History	International Relations - Political Science					
285	ANTH 251	Anthropology	International Relations - History	International Relations - Political Science					
286	ANTH 252	Anthropology	International Relations - History	International Relations - Political Science					
287	ANTH 262	Anthropology	International Relations - History	International Relations - Political Science					
288	ANTH 265	Anthropology	International Relations - History	International Relations - Political Science					
289	ANTH 274	Anthropology	International Relations - History	International Relations - Political Science					
290	ANTH 277	Anthropology	International Relations - History	International Relations - Political Science					
291	ANTH 278	Anthropology	International Relations - History	International Relations - Political Science					
292	ANTH 281	Anthropology	International Relations - History	International Relations - Political Science					
293	ANTH 299	Anthropology	International Relations - History	International Relations - Political Science					
258	ANTH 301	Anthropology	International Relations - History	International Relations - Political Science					
294	ANTH 302	Anthropology	International Relations - History	International Relations - Political Science					
295	ANTH 305	Anthropology	International Relations - History	International Relations - Political Science					
296	ANTH 310H	Anthropology							
297	ANTH 314	Anthropology	International Relations - History	International Relations - Political Science					
298	ANTH 319	Anthropology	International Relations - History	International Relations - Political Science					
299	ANTH 321	Anthropology	International Relations - History	International Relations - Political Science					
300	ANTH 333	Anthropology	International Relations - History	International Relations - Political Science					
301	ANTH 341	Anthropology	International Relations - History	International Relations - Political Science	Latin American Studies				
302	ANTH 345	Anthropology	International Relations - History	International Relations - Political Science	Latin American Studies				
303	ANTH 346	Anthropology	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
304	ANTH 350	Anthropology	International Relations - History	International Relations - Political Science					
305	ANTH 350H	Anthropology	International Relations - History	International Relations - Political Science					
306	ANTH 360	Anthropology	International Relations - History	International Relations - Political Science					
307	ANTH 370	Anthropology	International Relations - History	International Relations - Political Science					
1590	ARAB 201	Middle Eastern Studies							
1591	ARAB 202	Middle Eastern Studies							
1592	ARAB 250	Middle Eastern Studies							
1593	ARAB 250H	Middle Eastern Studies							
1594	ARAB 301	Middle Eastern Studies							
1595	ARAB 302	Middle Eastern Studies							
1596	ARAB 305	Middle Eastern Studies							
1597	ARAB 307	Middle Eastern Studies							
1598	ARAB 310	Middle Eastern Studies							
1599	ARAB 350	Middle Eastern Studies							
1600	ARAB 350H	Middle Eastern Studies							
1602	ARAB 368	Middle Eastern Studies							
309	ARTH 100	Architecture	Art History	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
349	ARTH 109	Art History							
373	ARTH 110Y	Art History	Medieval Renaissance Studies						
350	ARTH 112	Art History							
351	ARTH 113	Art History							
352	ARTH 165	Art History							
312	ARTH 200	Architecture	Art History						
315	ARTH 201	Architecture	Medieval Renaissance Studies						
316	ARTH 203	Architecture	Art History	Classical Civilization	Middle Eastern Studies				
354	ARTH 206	Art History							
1536	ARTH 207	Latin American Studies							
374	ARTH 209	Art History							
375	ARTH 212	Art History							
314	ARTH 216	Architecture							
415	ARTH 217	Art History							
376	ARTH 222	Art History	Media Arts and Sciences	Medieval Renaissance Studies					
378	ARTH 224	Art History							
87	ARTH 225	American Studies	Art History						
88	ARTH 226	American Studies	Art History	Media Arts and Sciences					
379	ARTH 227	Art History	Medieval Renaissance Studies						
90	ARTH 228	American Studies	Architecture	Art History					
380	ARTH 229	Art History	Medieval Renaissance Studies						
91	ARTH 230	American Studies	Architecture	Women's and Gender Studies					
313	ARTH 231	Architecture	Art History						
355	ARTH 234	Art History	Latin American Studies						
381	ARTH 235	Art History							
356	ARTH 236	Art History	Latin American Studies						
357	ARTH 237	Art History	Latin American Studies						
317	ARTH 238	Architecture	Art History	East Asian Studies					
407	ARTH 239	Art History	South Asia Studies						
318	ARTH 240	Architecture	Art History	East Asian Studies					
319	ARTH 241	Architecture	Art History	Classical Civilization	Middle Eastern Studies				
382	ARTH 242	Art History							
383	ARTH 243	Art History	Classical Civilization						
384	ARTH 244	Art History	Medieval Renaissance Studies						
92	ARTH 245	American Studies	Architecture	Art History	Women's and Gender Studies				
385	ARTH 246	Art History	Medieval Renaissance Studies						
320	ARTH 247	Architecture	Art History	Medieval Renaissance Studies					
409	ARTH 248	Art History	East Asian Studies						
321	ARTH 249	Architecture	Art History	East Asian Studies					
386	ARTH 251	Art History	Medieval Renaissance Studies						
410	ARTH 255	Art History	East Asian Studies						
387	ARTH 256	Art History							
411	ARTH 257	Art History							
322	ARTH 259	Architecture	Art History						
93	ARTH 262	American Studies	Art History						
388	ARTH 264	Art History	International Relations - History	International Relations - Political Science					
323	ARTH 266	Architecture	Environmental Studies						
358	ARTH 267	Art History	Environmental Studies						
324	ARTH 289	Architecture	Art History						
390	ARTH 290	Art History	Classical Civilization						
360	ARTH 292	Art History	International Relations - History	International Relations - Political Science					
391	ARTH 299	Art History	Medieval Renaissance Studies						
392	ARTH 301	Art History							
362	ARTH 303	Art History							
393	ARTH 304	Art History							
1537	ARTH 307	Latin American Studies							
325	ARTH 309	Architecture	Art History	Women's and Gender Studies					
363	ARTH 310	Art History							
394	ARTH 312	Art History							
1564	ARTH 313	Medieval Renaissance Studies							
364	ARTH 315	Art History							
80	ARTH 316	American Studies	Art History	International Relations - History	International Relations - Political Science	Women's and Gender Studies			
365	ARTH 317	Art History	Environmental Studies						
94	ARTH 318	American Studies	Architecture	Art History					
366	ARTH 320	Art History							
367	ARTH 321	Art History							
395	ARTH 322	Art History							
396	ARTH 323	Art History							
397	ARTH 325	Art History	Medieval Renaissance Studies	Women's and Gender Studies					
398	ARTH 326	Art History	Medieval Renaissance Studies						
399	ARTH 328	Art History	Medieval Renaissance Studies						
400	ARTH 330	Art History							
1565	ARTH 331	Medieval Renaissance Studies							
368	ARTH 334	Art History	Latin American Studies						
401	ARTH 335	Art History							
369	ARTH 336	Art History							
412	ARTH 337	Art History	East Asian Studies						
370	ARTH 339	Art History	Latin American Studies	Women's and Gender Studies					
413	ARTH 341	Art History	East Asian Studies						
402	ARTH 343	Art History	Classical Civilization						
371	ARTH 345	Art History							
414	ARTH 346	Art History	East Asian Studies						
403	ARTH 347	Art History	Medieval Renaissance Studies						
404	ARTH 373	Art History	Classical Civilization	Media Arts and Sciences					
372	ARTH 376	Art History							
416	ARTH 377	Art History							
417	ARTH 390	Art History							
418	ARTH 391	Art History							
310	ARTS 105	Architecture	Art History	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
1181	ARTS 106	Studio Art - students entering before Fall 2021							
347	ARTS 108	Art History	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences			
326	ARTS 109	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
1182	ARTS 110	Studio Art - students entering before Fall 2021	Media Arts and Sciences						
1183	ARTS 111	Studio Art - students entering before Fall 2021							
1184	ARTS 112	Studio Art - students entering before Fall 2021							
311	ARTS 113	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
1185	ARTS 115	Studio Art - students entering before Fall 2021							
576	ARTS 165	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
327	ARTS 207	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
597	ARTS 208	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
328	ARTS 216	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
329	ARTS 217	Architecture	Studio Art - students entering before Fall 2021						
1189	ARTS 218	Studio Art - students entering before Fall 2021							
330	ARTS 219	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
331	ARTS 220	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
332	ARTS 221	Architecture	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences			
334	ARTS 222	Architecture	Studio Art - students entering before Fall 2021						
1190	ARTS 223	Studio Art - students entering before Fall 2021							
1553	ARTS 225	Media Arts and Sciences							
1191	ARTS 250	Studio Art - students entering before Fall 2021							
1192	ARTS 250H	Studio Art - students entering before Fall 2021							
335	ARTS 255	Architecture	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences			
591	ARTS 260	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
595	ARTS 265	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
337	ARTS 307	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
617	ARTS 308	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
610	ARTS 313	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
338	ARTS 314	Architecture	Studio Art - students entering before Fall 2021						
1193	ARTS 315	Studio Art - students entering before Fall 2021							
339	ARTS 317	Architecture							
1187	ARTS 317H	Studio Art - students entering before Fall 2021	Media Arts and Sciences						
340	ARTS 318	Architecture							
1188	ARTS 318H	Studio Art - students entering before Fall 2021	Media Arts and Sciences						
341	ARTS 321	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
343	ARTS 322	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
1194	ARTS 323	Studio Art - students entering before Fall 2021							
344	ARTS 336	Architecture	Studio Art - students entering before Fall 2021	Media Arts and Sciences					
1195	ARTS 350	Studio Art - students entering before Fall 2021							
1196	ARTS 350H	Studio Art - students entering before Fall 2021							
1197	ARTS 360	Studio Art - students entering before Fall 2021							
615	ARTS 365	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
619	ARTS 366	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences				
1198	ARTS 370	Studio Art - students entering before Fall 2021							
1554	ARTS 391	Media Arts and Sciences							
419	ASTR 107	Astronomy	Astrophysics						
428	ASTR 200	Astronomy							
429	ASTR 202	Astronomy							
420	ASTR 206	Astronomy	Astrophysics						
430	ASTR 210	Astronomy							
431	ASTR 223	Astronomy	Environmental Studies	Geosciences					
432	ASTR 250	Astronomy							
433	ASTR 250GH	Astronomy							
434	ASTR 250H	Astronomy							
435	ASTR 303	Astronomy	Geosciences						
436	ASTR 304	Astronomy							
437	ASTR 311	Astronomy	Astrophysics						
438	ASTR 350	Astronomy							
439	ASTR 360	Astronomy							
440	ASTR 370	Astronomy							
545	BIOC 219	Biochemistry							
546	BIOC 220	Biochemistry							
547	BIOC 223	Biochemistry							
549	BIOC 320	Biochemistry							
550	BIOC 323	Biochemistry							
1679	BIOC 325	Neuroscience							
552	BIOC 331	Biochemistry							
1053	BISC 108	Environmental Studies							
534	BISC 110	Biochemistry	Biological Sciences	Neuroscience					
535	BISC 110P	Biochemistry	Biological Sciences	Neuroscience					
553	BISC 111	Biological Sciences	Environmental Studies						
554	BISC 111T	Biological Sciences							
536	BISC 112	Biochemistry	Biological Sciences	Neuroscience					
537	BISC 112Y	Biochemistry	Biological Sciences	Neuroscience					
555	BISC 113	Biological Sciences	Environmental Studies						
556	BISC 113Y	Biological Sciences							
538	BISC 116	Biochemistry	Biological Sciences	Environmental Studies	Neuroscience				
879	BISC 198	Data Science	Environmental Studies						
562	BISC 201	Biological Sciences	Environmental Studies						
563	BISC 202	Biological Sciences	Environmental Studies						
559	BISC 203	Biological Sciences							
564	BISC 204	Biological Sciences	Environmental Studies						
560	BISC 207	Biological Sciences							
565	BISC 209	Biological Sciences	Environmental Studies						
566	BISC 210	Biological Sciences	Environmental Studies						
567	BISC 214	Biological Sciences							
561	BISC 216	Biological Sciences							
557	BISC 219	Biological Sciences	Neuroscience						
558	BISC 220	Biological Sciences	Neuroscience						
568	BISC 247	Biological Sciences							
1375	BISC 274	International Relations - History	International Relations - Political Science						
495	BISC 302	Astronomy	Neuroscience						
496	BISC 303	Astronomy							
497	BISC 305	Astronomy							
498	BISC 306	Astronomy	Neuroscience						
499	BISC 307	Astronomy							
500	BISC 308	Astronomy							
501	BISC 310	Astronomy	Environmental Studies						
502	BISC 311	Astronomy	Biochemistry						
503	BISC 312	Astronomy							
504	BISC 314	Astronomy	Biochemistry	Environmental Studies					
505	BISC 315	Astronomy	Neuroscience						
506	BISC 316	Astronomy	Biochemistry						
507	BISC 317	Astronomy							
508	BISC 318	Astronomy	Biochemistry						
509	BISC 327	Astronomy							
510	BISC 328	Astronomy	Biochemistry						
511	BISC 329	Astronomy	Biochemistry						
512	BISC 333	Astronomy	Biochemistry						
513	BISC 334	Astronomy	Biochemistry						
514	BISC 335	Astronomy	Biochemistry						
515	BISC 336	Astronomy	Biochemistry						
516	BISC 338	Astronomy							
517	BISC 340	Astronomy							
518	BISC 347	Astronomy							
519	BISC 350	Astronomy							
520	BISC 350H	Astronomy							
521	BISC 355	Astronomy							
522	BISC 360	Astronomy							
523	BISC 365	Astronomy							
524	BISC 370	Astronomy							
551	BOC 324	Biochemistry							
573	CAMS 101	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences	Music			
1655	CAMS 107Y	Music							
1550	CAMS 115	Media Arts and Sciences							
353	CAMS 135	Art History	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences	Music		
348	CAMS 138	Art History	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Studio Art - students entering before Fall 2021	Media Arts and Sciences	Music		
574	CAMS 201	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
575	CAMS 202	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
581	CAMS 203	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	East Asian Languages and Cultures	East Asian Studies	Music	Women's and Gender Studies		
1046	CAMS 204	English and Creative Writing							
89	CAMS 207	American Studies	Art History	Media Arts and Sciences	Music				
579	CAMS 208	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	English and Creative Writing	Media Arts and Sciences	Music			
1656	CAMS 210	Music							
582	CAMS 212	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
583	CAMS 216	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
584	CAMS 217	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
585	CAMS 218	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
586	CAMS 219	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
1657	CAMS 220	Music							
587	CAMS 221	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
95	CAMS 222	American Studies	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music			
1658	CAMS 224	Music							
588	CAMS 225	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
96	CAMS 227	American Studies	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music				
589	CAMS 228	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
590	CAMS 230	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
84	CAMS 232	American Studies	International Relations - History	International Relations - Political Science	Media Arts and Sciences	Music			
592	CAMS 233	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
577	CAMS 234	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
